altmetric_id,title,country,tiers
neue_zurcher_zeitung,"Neue Zürcher Zeitung",CH,tier2
crikey,Crikey,AU,tier2
complex,Complex,US,tier2
htxt_africa,htxt.africa,ZA,tier3
industrial_safety_and_security_source,"Industrial Safety and Security Source",US,tier3
spin,Spin,US,tier3
international_science_times,"International Science Times",US,tier3
ansa_it,ANSA.it,IT,tier2
livedoor,Livedoor,JP,tier2
ingenieur_de,Ingenieur.de,DE,tier3
mta_dialog,"MTA Dialog",DE,tier3
irish_examiner,"Irish Examiner",IE,tier2
el_confidencial,"El Confidencial",ES,tier2
e_t_magazine,"E&T Magazine",GB,tier3
radio_canada_international,"Radio Canada International",CA,tier2
mosaic,Mosaic,GB,tier3
nj_com,NJ.com,US,tier2
the_tyee,"The Tyee",CA,tier2
multiple_sclerosis_discovery_forum,"Multiple Sclerosis Discovery Forum",US,tier3
pain_research_forum,"Pain Research Forum",US,tier3
europe1,Europe1,FR,tier2
nautilus,Nautilus,US,tier3
france_bleu,"France Bleu",FR,tier2
francetv_info,"FranceTV Info",FR,tier2
france_inter,"France Inter",FR,tier2
esquire,Esquire,US,tier1
ici_radio_canada_ca,ICI.Radio-Canada.ca,CA,tier2
le_parisien,"Le Parisien",FR,tier2
la_croix,"La Croix",FR,tier2
agi_it,AGI.it,IT,tier2
insight_crime,"InSight Crime",CO,tier3
holyrood,Holyrood,GB,tier2
cambridge_news,"Cambridge News",GB,tier2
stv_news,"STV News",GB,tier2
thomson_reuters_foundation,"Thomson Reuters Foundation",GB,tier1
nbc29,NBC29,US,tier2
newsplex_com,Newsplex.com,US,tier2
tv2_dk,tv2.dk,DK,tier2
il_foglio,"Il Foglio",IT,tier4
jyllands_posten,"Jyllands Posten",DK,tier2
berlingske_tidende,"Berlingske Tidende",DK,tier2
politiken,Politiken,DK,tier2
videnskab_dk,Videnskab.dk,DK,tier3
maritime_danmark,"Maritime Danmark",DK,tier4
illustreret_videnskab,"Illustreret Videnskab",DK,tier3
nrk,NRK,NO,tier2
aftenposten,Aftenposten,NO,tier2
dagbladet,Dagbladet,NO,tier2
aftonbladet,Aftonbladet,SE,tier4
dn_se,DN.se,SE,tier2
svt,SVT,SE,tier2
information,Information,DK,tier2
wissenschaft_aktuell,"Wissenschaft Aktuell",DE,tier3
scienceticker,Scienceticker,DE,tier3
osterreich24,Österreich24,AT,tier2
krone_zeitung,"Krone Zeitung",AT,tier2
heute,Heute,AT,tier4
kurier,Kurier,AT,tier2
kleine_zeitung,"Kleine Zeitung",AT,tier2
dagen,Dagen,SE,tier2
expressen,Expressen,SE,tier4
imerisia,imerisia,GR,tier2
